site;foxden;care_big;fest_ovi;rume_ace;vacc_vit;poa__pra;trie_eur;empe_her;junc_tri;vacc_myr;sali_her;desc_fle;hier_alp;soli_vir;betu_nan;cera_alp;anth_odo;agro_cap;rubu_cha;poly_viv;care_vag
RT13;0;15;9;1;17;0;9;3;15;4;0;1;5;5;0;0;0;0;0;0;0
RT14;0;19;5;0;18;0;17;2;5;13;1;9;11;0;0;0;1;0;0;0;0
RT15;0;10;7;1;16;0;3;8;16;3;0;2;5;1;0;0;0;0;0;0;1
RT12;0;9;7;1;19;0;3;10;3;0;5;1;2;1;13;0;0;0;0;0;0
RT11;0;19;3;1;18;0;1;10;0;10;1;6;1;3;2;0;0;0;0;0;0
RR3;0;10;6;0;12;0;6;7;19;4;0;2;2;0;0;0;0;0;0;0;0
RR4;0;16;6;0;7;0;0;0;0;0;10;0;0;0;0;0;0;0;14;0;0
RR16;0;5;4;1;15;0;0;3;18;2;4;3;3;0;0;0;0;0;0;0;0
RR8;0;8;6;0;8;0;2;4;4;9;11;6;2;3;5;0;0;0;0;0;0
RR6;0;19;3;11;4;1;17;2;2;7;8;8;0;6;0;0;5;0;0;1;0
RR5;0;18;19;0;1;0;2;0;1;1;18;0;2;1;0;3;2;1;0;19;0
RÄ12;0;8;4;1;9;0;10;8;3;4;16;6;2;2;1;0;2;0;0;7;0
RÄ11;0;2;14;1;15;0;0;13;4;5;2;1;1;1;5;0;0;0;0;0;0
RÄ9;0;1;5;0;13;0;1;14;1;3;0;1;0;0;8;0;0;0;0;0;0
RÄ16;0;5;5;0;9;0;2;14;7;16;1;3;1;2;10;0;0;0;0;0;0
RR14;0;17;3;1;4;0;6;0;0;13;9;4;0;0;0;0;0;0;11;0;0
RR11;0;13;14;0;15;0;0;13;2;2;2;0;5;0;0;0;0;0;0;0;0
RR10;0;12;4;0;10;0;1;9;3;7;6;3;3;0;0;0;0;0;0;1;0
T13;1;20;13;13;1;14;5;0;0;0;1;0;0;0;0;4;4;1;0;0;3
T15;1;19;19;16;2;0;2;0;2;2;0;0;0;5;0;9;2;0;0;0;0
T14;1;20;0;18;0;10;2;0;0;0;0;3;0;0;0;0;6;0;1;0;0
T12;1;18;18;19;7;12;16;0;0;0;0;0;0;2;0;2;4;0;0;0;11
T11;1;20;8;17;0;11;7;0;0;0;0;2;0;2;0;0;2;15;0;0;1
R3;1;20;0;17;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;1;20;18;10;6;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0
R16;1;19;2;11;0;18;1;0;0;0;1;1;0;0;0;8;0;0;1;0;0
R8;1;19;18;15;0;15;2;0;0;0;0;0;0;0;0;4;1;2;1;0;2
R6;1;13;10;12;2;16;2;0;0;0;0;1;0;0;0;8;1;0;0;1;1
R5;1;20;11;15;0;12;2;0;0;0;0;0;0;0;0;2;0;0;3;0;0
Ä12;1;20;13;18;1;7;17;0;0;0;0;0;0;0;0;1;3;0;0;0;0
Ä11;1;20;18;17;1;11;1;0;0;0;0;1;0;2;0;0;1;2;0;0;4
Ä9;1;19;18;13;6;3;1;1;0;0;0;0;0;4;0;0;0;0;0;0;1
Ä16;1;20;4;15;0;17;0;0;0;0;0;1;0;4;0;0;0;7;2;0;0
R10;1;20;13;20;0;8;4;0;0;0;2;2;0;1;0;0;2;8;0;0;2
R11;1;20;12;17;1;15;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0
R14;1;20;14;19;1;18;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0
