twig;yr;pid;gud
O53;95;YRY_BMY;0.29
O54;95;YRY_BMY;1.58
O52;95;YRY_BMY;0.56
O51;95;YRY_BMY;1.4
O50;95;YRY_BMY;2.25
O55;95;YRY_BMY;0.29
O56;95;YRY_BMY;1.71
O2;95;RGR_BYL;0.38
O3;95;RGR_BYL;0.23
F3;95;RGR_BYL;0.71
F1;95;RGR_BYL;0.78
F6;95;RGR_BYL;2.06
O1;95;RGR_BYL;0.76
F7;95;RGR_BYL;1.22
U1;95;RGR_BYL;0.22
U5;95;RGR_BYL;1.3
F4;95;RGR_BYL;1.91
U6;95;RGR_BYL;0.18
O44;95;RGR_BYL;3.39
O46;95;RGR_BYL;1.53
O45;95;RGR_BYL;0.58
U7;95;ROG_BOG;0.18
O9;95;ROG_BOG;0
O38;95;ROG_BOG;0
F5;95;ROG_BOG;4.97
O37;95;ROG_BOG;1.08
O8;95;ROG_BOG;0
O10;95;ROG_BOG;0.12
O11;95;ROG_BOG;1.31
O7;95;ROG_BOG;0.28
O12;95;ROG_BOG;2.43
O36;95;ROG_BOG;1.13
F10;95;RYM_BYM;0.32
F11;95;RYM_BYM;0.81
O41;95;RGY_BYG;0.42
O42;95;RGY_BYG;2.19
O57;95;RGY_BYG;0
O59;95;RGY_BYG;0
O58;95;RGY_BYG;0
O43;95;RGY_BYG;2.42
O14;95;RGY_BYG;1.16
F14;95;RGY_BYG;0.47
O15;95;RGY_BYG;0.63
O17;95;RGY_BYG;0.89
O19;95;RGY_BYG;2.01
O18;95;RGY_BYG;1.9
O35;95;RYG_om;4.4
F13;95;RYG_om;0.48
O33;95;RYG_om;1.71
O34;95;RYG_om;0.77
O32;95;RYG_om;1.81
O28;95;RYG_om;0.12
O31;95;RYG_om;0.43
O29;95;RYG_om;0
U8;95;RYG_om;0.63
F06;96;YRY_BMY;2.31
O21;96;YRY_BMY;1.98
O22;96;YRY_BMY;1.21
O20;96;YRY_BMY;2.53
O23;96;YRY_BMY;0.4
O19;96;YRY_BMY;1.28
O09;96;GLB_BVO;0.5
O11;96;GLB_BVO;0.78
O10;96;GLB_BVO;0
O07;96;GLB_BVO;0.09
O08;96;GLB_BVO;0
O06;96;GLB_BVO;1.43
O05;96;GLB_BVO;0.14
O04;96;GLB_BVO;0.73
U07;96;RRB_BVG;0.49
O03;96;RRB_BVG;0.3
U06;96;RRB_BVG;0.26
L03;96;RRB_BVG;0.33
…01;96;RRB_BVG;2.33
L01;96;RRB_BVG;0
L02;96;RRB_BVG;0.28
U08;96;RMV_BMG;0.14
F02;96;RMV_BMG;2.16
M10;96;RGR_YOS;1.46
O30;96;ROG_BOG;1.03
O31;96;ROG_BOG;4.97
O27;96;ROG_BOG;1.53
O26;96;ROG_BOG;2.46
O28;96;ROG_BOG;0.88
O29;96;ROG_BOG;0.14
O25;96;ROG_BOG;0.2
U09;96;RYM_BYM;2.92
O37;96;RLM_BYO;0.44
O38;96;RLM_BYO;1.75
O39;96;RLM_BYO;0.92
O40;96;RLM_BYO;0.72
M09;96;RLM_BYO;0.89
O41;96;RLM_BYO;4.11
O54;96;RRV_BVL;0.12
O49;96;RRV_BVL;0
O47;96;RRV_BVL;5.06
O46;96;RRV_BVL;5.42
O50;96;RRV_BVL;0.66
O48;96;RRV_BVL;0.63
O52;96;RRV_BVL;0.19
O51;96;RRV_BVL;0
O53;96;RRV_BVL;1.06
U02;96;RRY_BMO;1.03
U10;96;RRY_BMO;0
U01;96;RRY_BMO;1.2
U11;96;RRY_BMO;0.12
O42;96;RRY_BMO;0
O44;96;RRY_BMO;6.18
O45;96;RRY_BMO;1.37
M06;96;GRS_BGM;0
M04;96;GRS_BGM;0.69
O24;96;GRS_BGM;0
F01;96;GRS_BGM;0
