site;yr;bloom;dens
3;91;1;8.5
3;91;1;6
3;91;1;6.5
3;91;1;3.5
3;91;1;6
3;91;1;2.5
3;91;1;7
3;91;1;2
2;92;1;3
2;92;1;1
2;92;1;0
2;92;1;4.5
2;92;1;0.5
4;92;1;2
4;92;1;2.5
2;92;1;3.5
2;92;1;8.5
2;92;1;1
2;92;1;0.5
2;92;1;1
2;92;1;6
4;93;1;0
4;93;1;0.5
4;93;1;0.5
4;93;1;4.5
4;93;1;1
4;93;1;0.5
1;94;0;0
1;94;0;0
1;94;0;0
1;94;0;0
1;94;0;0
1;94;0;0
2;94;0;0
2;94;0;0
2;94;0;0
2;94;0;0
2;94;0;0
2;94;0;0
1;95;1;1
1;95;1;0
1;95;1;2.5
1;95;1;0
1;95;1;0
1;95;1;0.5
1;95;1;2
1;95;1;4
4;95;1;0
4;95;1;1.5
4;95;1;1
4;95;1;0
4;95;1;0
4;95;1;3.5
4;95;1;8
4;95;1;0
3;95;1;3.5
3;95;1;0.5
3;95;1;2.5
3;95;1;0
3;95;1;0
3;95;1;1.5
3;95;1;1.5
3;95;1;2.5
3;90;0;0
3;96;0;0
3;96;0;0.5
3;96;0;0
3;96;0;0
3;96;0;0.5
1;96;0;0.5
1;96;0;1
1;96;0;0
1;96;0;0
1;96;0;0
4;96;0;0
4;96;0;0
4;96;0;1.5
