sex;id;season;ampm;fortime
1;L;1;1;1
1;RGB;1;1;0.94
1;RGR;1;1;0.97
1;RLB;1;1;0.75
1;RLO;1;1;0.99
1;RRB;1;1;0.97
1;RRR;1;1;1
1;RRY;1;1;0.72
1;RV;1;1;1
1;RYM;1;1;1
1;YGB;1;1;0.91
1;YRY;1;1;0.91
1;ROG;1;2;0.95
1;ROO;1;2;0.88
1;RY;1;2;1
1;MY;2;1;0.8
1;RB;2;1;0.76
1;RBB;2;1;0.14
1;RBR;2;1;0.43
1;RLL;2;1;1
1;RLM;2;1;0.2
1;RLR;2;1;0.44
1;RLV;2;1;0.93
1;RLY;2;1;0.48
1;ROB;2;1;0.45
1;ROR;2;1;0.45
1;ROY;2;1;0.61
1;RYB;2;1;0.57
1;RYL;2;1;0.33
1;RYR;2;1;0.86
1;YRM;2;1;0.72
1;YRO;2;1;0.25
1;RGY;2;2;0.79
1;RLG;2;2;0.57
1;RYG;2;2;0.85
2;BBG;1;1;0.99
2;BGL;1;1;0.52
2;BMO;1;1;0.94
2;BOG;1;1;0.69
2;BOO;1;1;0.9
2;PP;1;1;1
2;BGG;1;2;0.99
2;BGM;1;2;0.98
2;BML;1;2;0.95
2;BYL;1;2;0.99
2;BBL;2;1;0.5
2;BBO;2;1;0.9
2;BBY;2;1;0.9
2;BGB;2;1;0.9
2;BGV;2;1;0.36
2;BGY;2;1;0.93
2;BLV;2;1;0.93
2;BMY;2;1;0.39
2;BYB;2;1;0.84
2;BYM;2;1;0.83
2;BYO;2;1;0.69
2;RLB;2;1;0.8
2;RLR;2;1;0.6
2;RLV;2;1;0.66
2;RRR;2;1;0.7
2;RRV;2;1;1
2;RY;2;1;0.2
2;YRO;2;1;0.83
2;ZXX;2;1;0.83
2;ZXY;2;1;0.66
2;ZYY;2;1;0.78
2;BOL;2;2;0.89
2;BVG;2;2;0.96
2;BYG;2;2;0.92
2;RLL;2;2;0.91
2;YOS;2;2;0.88
